BSPlotNumber,Species,basal_area,I,plotID,spID,basal_area_z
BS521,LIDE,5.725552611167399e-4,1,134,1,-0.17982151236267804
BS521,LIDE,9.0792027688745e-4,1,134,1,-0.1784003975630284
BS521,LIDE,3.141592653589793e-4,1,134,1,-0.18091646966732616
BS521,LIDE,0.005944678698755285,1,134,1,-0.15705705046665064
BS521,LIDE,4.249004063980195e-4,1,134,1,-0.1804472022510484
BS521,LIDE,2.269800692218625e-4,1,134,1,-0.18128589295248101
BS521,LIDE,1.7671458676442585e-4,0,134,1,-0.18149889376554323
BS521,LIDE,0.0030190705400997917,0,134,1,-0.1694543634144141
BS521,LIDE,6.353871141885356e-4,0,134,1,-0.17955526134635025
BS521,LIDE,0.001389369351050086,1,134,1,-0.1763602491504166
BS521,LIDE,4.5238934211693025e-4,1,134,1,-0.180330717431405
BS521,LIDE,3.8013271108436504e-4,1,134,1,-0.18063690610018196
BS521,LIDE,4.7595128701885363e-4,0,134,1,-0.18023087330028206
BS521,LIDE,2.3247785636564466e-4,1,134,1,-0.1812625959885523
BS521,LIDE,3.2201324699295377e-4,1,134,1,-0.18088318829028519
BS521,LIDE,0.0011388273369262998,1,134,1,-0.1774219250780237
BS521,LIDE,1.3273228961416876e-4,1,134,1,-0.1816852694769727
BS521,LIDE,0.0017357299411083606,1,134,1,-0.17489254042290953
BS521,LIDE,1.5393804002589983e-4,1,134,1,-0.18159540975896207
BS521,LIDE,4.908738521234052e-4,1,134,1,-0.18016763868390423
BS521,LIDE,6.157521601035993e-4,1,134,1,-0.17963846478895268
BS521,LIDE,0.06414896579181338,0,134,1,0.08958457850861244
BS521,LIDE,0.8023085712535588,1,134,1,3.217548112255535
BS521,LIDE,0.7060140440320511,1,134,1,2.8094984609069473
BS521,LIDE,0.20830722788708822,1,134,1,0.7004575978203141
BS521,LIDE,0.0012566370614359172,1,134,1,-0.17692270442240907
BS521,LIDE,4.5238934211693025e-4,0,134,1,-0.180330717431405
BS521,QUPA,0.13526519869112552,0,134,3,0.39094079133923965
BS521,LIDE,3.337942194439155e-4,1,134,1,-0.18083326622472373
BS521,LIDE,2.2776546738526002e-4,1,134,1,-0.1812825648147769
BS521,LIDE,0.24300926033864104,1,134,1,0.8475080341381612
BS521,LIDE,1.7671458676442585e-4,1,134,1,-0.18149889376554323
BS521,LIDE,3.141592653589793e-4,1,134,1,-0.18091646966732616
BS521,LIDE,1.7671458676442585e-4,1,134,1,-0.18149889376554323
BS521,LIDE,6.60519855417254e-4,1,134,1,-0.17944876093981912
BS521,LIDE,7.068583470577034e-4,1,134,1,-0.17925240081527735
BS521,LIDE,2.544690049407733e-4,1,134,1,-0.18116940813283758
BS521,LIDE,7.547676350249479e-4,1,134,1,-0.17904938441532742
BS521,LIDE,2.0106192982974677e-4,1,134,1,-0.18139572149671623
BS521,LIDE,9.0792027688745e-4,1,134,1,-0.1784003975630284
